comp_name,comp_type,comp_headq,how_old,comp_no_emp,comp_review,open_jobs,comp_services,comp_logo,comp_description
Capgemini,Public,Paris + 79 more,1 Lakh+ Employees (India),56 years old,(25.4k Reviews),1.4k,"['Internet', 'Analytics & KPO', 'IT Services & Consulting', 'Software Product', 'Forbes Global 2000', 'Public']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2NhcGdlbWluaS5qcGc.webp,"Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. 

The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 350,000 team members in more than 50 countries. 

With its strong 55 year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. 

The Group reported in 2021 global revenues of �18 billion.

Get the Future You Want |  www.capgemini.com/in-en"

Tech Mahindra,Public,"Pune,Maharashtra + 214 more",50k-1 Lakh Employees (India),37 years old,(22.8k Reviews),814,"['Consulting', 'Analytics & KPO', 'IT Services & Consulting', 'Forbes Global 2000', 'Fortune India 500', 'Public', 'Pune,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3RlY2gtbWFoaW5kcmEuanBn.webp,"Tech Mahindra offers innovative and customer-centric digital experiences, enabling enterprises, associates, and society to rise. We are a USD 5.1 billion organization with 141,100+ professionals across 90 countries helping 1123 global customers, including Fortune 500 companies. 

We are focused on leveraging next-generation technologies including 5G, Blockchain, Cybersecurity, Artificial Intelligence, and more, to enable end-to-end digital transformation for global customers. Tech Mahindra is one of the fastest-growing brands and amongst the top 15 IT service providers globally. 

Tech Mahindra has consistently emerged as a leader in sustainability and is recognized amongst the �2021 Global 100 Most sustainable corporations in the World� by Corporate Knights. With the NXT.NOW� framework, Tech Mahindra aims to enhance �Human Centric Experience� for our ecosystem and drive collaborative disruption with synergies arising from a robust portfolio of companies. 

Tech Mahindra aims at delivering tomorrow�s experiences today and believes that the �Future is Now.

We are part of the Mahindra Group, founded in 1945, one of the largest and most admired multinational federations of companies with 260,000 employees in over 100 countries. It enjoys a leadership position in farm equipment, utility vehicles, information technology, and financial services in India and is the world�s largest tractor company by volume. It has a strong presence in renewable energy, agriculture, logistics, hospitality, and real estate. 

The Mahindra Group has a clear focus on leading ESG globally, enabling rural prosperity and enhancing urban living, with a goal to drive positive change in the lives of communities and stakeholders to enable them to rise."

Genpact,Public,"New York,New York + 70 more",50k-1 Lakh Employees (India),26 years old,(20.5k Reviews),992,"['IT Services & Consulting', 'Public']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2dlbnBhY3QuanBn.webp,"Genpact (NYSE: G) is a global professional services firm delivering business outcomes that transform industries and shape the future. Fusing real-world expertise and collaborative innovation, we make businesses work better � breaking down boundaries, creating simplicity from complexity, and building ecosystems of impact. 

Guided by our experience reinventing and running thousands of processes for hundreds of companies, our Global Fortune 500 clients come to us for digital-led innovation and digitally-enabled operations that dig deep into data to turn insight into action. 

And we do it all with purpose. From New York to New Delhi and more than 30 countries in between, our 100,000+ team is passionate about our relentless pursuit of a world that works better for people.

Genpact began in 1997 as a business unit within General Electric. Then, in January 2005, we became an independent company, bringing our process expertise and unique DNA in Lean management to more companies. 

We became a publicly traded company in 2007. Since December 31, 2005, we have expanded from 19,000+ employees and annual revenues of $491.90 million to 100,000+ employees and annual revenues of $4.0 billion as of December 31, 2021."

HCLTech,Public,"Noida,Uttar Pradesh + 142 more",1 Lakh+ Employees (India),32 years old,(19.7k Reviews),678,"['Financial Services', 'Consumer Electronics & Appliances', 'IT Services & Consulting', 'Software Product', 'Conglomerate', 'Forbes Global 2000', 'Fortune India 500', 'Public']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2hjbC10ZWNobm9sb2dpZXMuanBn.webp,"HCLTech is a global technology company, home to 222,270+ people across 60 countries, delivering industry-leading capabilities centered around digital, engineering and cloud powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services.

Our purpose is to bring together the best of technology and our people to supercharge progress. We�re supercharging progress for everyone, everywhere � our clients, partners and their stakeholders, our people, communities, and the planet.

Part of the HCL group, HCLTech was listed on the stock exchanges in India at the turn of the millennium in December, 1999. Since our inception, we pioneered several industry mainstays and established leadership position in all our chosen segments.

As a company we are deeply focused on accelerating our ESG agenda. We are also creating technology-enabled sustainable solutions with and for our clients and partners. We embed ESG imperatives into every aspect of our business and ensure that the progress we supercharge is responsible, inclusive and beneficial to all our stakeholders in the long-term. We have committed to achieving net-zero by 2040.

We recognize the impact that a business like ours can deliver in elevating communities globally, and we continue to improve our efforts and take decisive actions that benefit communities in which we work and live. Through the HCL Foundation, the CSR arm of HCLTech, we have invested more than $130 million in social development efforts serving communities throughout India across education, health, water, sanitation and hygiene, skill development and livelihoods, environment, and disaster risk reduction, response and management.

We�re powered by our people � a global, diverse, multi-generational talent - representing 167 nationalities whose unique spark, perspective and boundless passion drive our culture of proactive value creation and problem-solving. 
 
Consolidated revenues as of 12 months ending December 31, 2022 totaled $12.3 billion. To learn how we can supercharge progress for you, visit hcltech.com."

Mahindra & Mahin...,Public,"Mumbai,Maharashtra + 426 more",1 Lakh+ Employees (India),78 years old,(8.8k Reviews),68,"['Automobile', 'Internet', 'Industrial Machinery', 'Manufacturing', 'Retail', 'Conglomerate', 'Forbes Global 2000', 'Fortune India 500', 'Public', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL21haGluZHJhLWFuZC1tYWhpbmRyYS5qcGc.webp,"A federation of companies, bound by one purpose � to Rise. Inspired by this spirit, our legacy, and values, our goal to always positively impact our partners, stakeholders, communities, and the world at large, remains unshakeable.

What began as a steel-trading venture seven decades ago, steadily turned into a global brand, spanning nations and industries. This is a story with an upward curve, narrating how an Indian company paved its way to become a global powerhouse. We have come a long way since 1945 and as we accelerate into the 21st century, we aim at achieving even more."

