comp_name,comp_type,comp_headq,how_old,comp_no_emp,comp_review,open_jobs,comp_services,comp_logo,comp_description

AFCONS Infrastru...,Partnership,"Mumbai,Maharashtra + 74 more",10k-50k Employees (India),64 years old,(1.6k Reviews),6,"['Engineering & Construction', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2FmY29ucy1pbmZyYXN0cnVjdHVyZS5qcGc.webp,"Afcons Infrastructure is a part of Shapoorji Pallonji Group, which is India�s leading engineering and construction conglomerate. We are one of the top infrastructure development companies in India, with a diverse experience of on-time execution of over 350 infrastructure projects in more than 22 countries.

Afcons is the first infrastructure company globally to win the Most Innovative Knowledge Enterprise (MIKE) Award at the Global, Asia Pacific, and, India levels in 2018, 2019, and 2020, having won its predecessor the Most Admired Knowledge Enterprise (MAKE) Award in 2016 and 2017."

Tata Teleservice...,Public,"Mumbai,Maharashtra + 143 more",201-500 Employees (India),27 years old,(1.6k Reviews),4,"['Telecom', 'IT Services & Consulting', 'Fortune India 500', 'Public', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/alpha/company/photos/logos/tata-teleservices.jpg,"Tata Tele Business Services (TTBS), belonging to the prestigious Tata group of companies, is the country�s leading enabler of connectivity and communication solutions for businesses. With services ranging from connectivity, collaboration, cloud, security, IoT and marketing solutions, TTBS offers the largest portfolio of ICT services for businesses in India. Also, with fibre optic network running across 125,000 km., operations in over 60 cities, 1400+ partners and the largest team with 1200+ professionals, TTBS is well geared up to cater to the small, medium & large business community in India. TTBS strives to always get the best technology and services to businesses so that they can improve processes, reach customers more effectively, manage workforce more efficiently and Do Big. Focus on customer centricity and innovation has helped TTBS garner recognition from customers and peers alike."

Paras Hospital,Private,"Gurgaon/Gurugram,Haryana + 24 more",1k-5k Employees (India),17 years old,(1.6k Reviews),54,"['Healthcare', 'Gurgaon/Gurugram,Haryana']",https://static.ambitionbox.com/alpha/company/photos/logos/paras-hospital-29258.jpg,"Paras Healthcare was established in 2006, with the mission of providing specialized tertiary medical care services at affordable prices to under served communities across the country. This private healthcare provider stands apart from others in it�s vision of making healthcare for all a reality for ordinary people in rural and remote regions. Every single individual working in a �Paras� Hospital- from doctors to nurses and the management- is united in the endeavor to deliver top quality healthcare to all. Paras Healthcare is a leader in establishing specialized hospitals in places that lack access to healthcare, specifically super specialty tertiary care. Each of it�s initiative is based on three tenets of healthcare- Affordability, Accessibility & Quality."

Mankind Pharma,Private,"New Delhi,Delhi + 160 more",5k-10k Employees (India),28 years old,(1.9k Reviews),13,"['Manufacturing', 'Pharma', 'Fortune India 500', 'New Delhi,Delhi']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL21hbmtpbmQtcGhhcm1hLmpwZw.webp,"Mankind Pharma, one of the top 5 leading pharmaceutical companies in India, started its journey in 1995. Today, we have an employee base of over 17,000 and are racing towards $1 Billion. At Mankind, we aspire to aid the community in leading a healthy life by formulating, developing, commercializing, and delivering affordable and accessible medicines that satisfy urgent medical needs. We take great pride in the success of our products ranging from Pharma, OTC, and FMCG brands like Manforce Condoms, Manforce Tablets, Manforce Staylong Gel, Unwanted 72, Prega News, Gas-O-Fast, Kaloree 1, Kabzend, Acne Star Gel, and many others. Our operations are in 34 overseas destinations across Asia, Africa, South-East Asia, Gulf countries, and CIS countries."

Blue Dart Expres...,Public,"Mumbai,Maharashtra + 206 more",10k-50k Employees (India),40 years old,(1.7k Reviews),4,"['Logistics / Shipping', 'Logistics', 'Fortune India 500', 'Public', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2JsdWUtZGFydC1leHByZXNzLmpwZw.webp,"Blue Dart Express Ltd., South Asia's premier express air and integrated transportation & distribution company, offers secure and reliable delivery of consignments to over 35,000 locations in India. As part of the DPDHL Group�s (DHL Express, DHL Global Forwarding & DHL Supply Chain) Post - E-commerce - Parcel (PeP) division, Blue Dart accesses the largest and most comprehensive express and logistics network worldwide, covering over 220 countries and territories and offers an entire spectrum of distribution services including air express, freight forwarding, supply chain solutions and customs clearance.

The Blue Dart team drives market leadership through its motivated people force, dedicated air and ground capacity, cutting-edge technology, wide range of innovative, vertical specific products and value-added services to deliver unmatched standards of service quality to its customers. Blue Dart's market leadership is further validated by numerous awards and recognitions from customers for exhibiting reliability, superior brand experience and sustainability which include recognition as one of �India's Best Companies to Work For� by The Great Place to Work� Institute, amongst the Top 25 Best Employers in India 2016 by AON Hewitt, voted as a Superbrand, listed as one of Fortune 500�s India's Largest Corporations and Forbes India's Super 50 Companies and voted Reader�s Digest Most Trusted Brand to name a few.

Blue Dart accepts its social responsibility by supporting climate protection (GoGreen), disaster management (GoHelp) and education (GoTeach)."

Nestle,Public,Vevey + 192 more,10k-50k Employees (India),64 years old,(1.8k Reviews),19,"['FMCG', 'Food Processing', 'Forbes Global 2000', 'Fortune India 500', 'Public']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL25lc3RsZS5qcGc.webp,"As the world�s largest food and beverage company we are driven by a simple aim: enhancing quality of life and contributing to a healthier future. To deliver on this, we serve with passion, with a spirit of excellence, offering products and services for all stages of life, every moment of the day, helping people care for themselves and their families. Our culture is based on our values rooted in respect: respect for ourselves, respect for others, respect for diversity and respect for the future.

We can trace our origin back to 1866, when the first European condensed milk factory was opened in Cham, Switzerland, by the Anglo-Swiss Condensed Milk Company. One year later, Henri Nestl�, a trained pharmacist, launched one of the world�s first prepared infant cereals �Farine lact�e� in Vevey, Switzerland.

Today, we employ around 328,000 people and have factories or operations in almost every country in the world. With our headquarters still based in the Swiss town of Vevey, we had sales of CHF 89.5 billion in 2016."

Landmark Group,Private,"Dubai Marina,Dubai + 118 more",1k-5k Employees (India),50 years old,(4.9k Reviews),99,"['Retail', 'Fashion & Textile', 'Hospitality', 'Conglomerate']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2xhbmRtYXJrLWdyb3VwLmpwZw.webp,"The Landmark Group began its journey in 1973 with one store in Bahrain and has grown into one of the largest retail and hospitality conglomerates in the Middle East, Africa and India. Currently the Group operates over 2,200 outlets, encompassing over 30 million square feet across 24 countries."

Eureka Forbes,Private,"Mumbai,Maharashtra + 152 more",5k-10k Employees (India),41 years old,(1.6k Reviews),4,"['Consumer goods', 'Manufacturing', 'Consumer Electronics & Appliances', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/alpha/company/photos/logos/eureka-forbes.jpg,"Eureka Forbes Limited is India�s leading health and hygiene brand. It is a multi-product, multi-channel organization with a gross group turnover of Rs. 20,351 million for the year ending 31st March 2015. A part of Shapoorji Pallonji Group, Eureka Forbes� product portfolio encompasses water purification, vacuum cleaning, air purification and home security solutions. It has a base of 15 mn happy customers, a reach of over 1,500 cities and towns in India and a global footprint across 53 countries."

Statestreet HCL ...,Private,New Delhi + 11 more,5k-10k Employees (India),11 years old,(1.6k Reviews),113,"['BPO/KPO', 'BPO', 'New Delhi']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3N0YXRlc3RyZWV0LWhjbC1zZXJ2aWNlcy5qcGc.webp,"Statestreet HCL Services (india) Private Limited is a Subsidiary of Foreign Company, incorporated on 06 Jan, 2012. It's a private unlisted company and is classified as 'company limited by shares'.

The company is engaged in providing of processing and support-facilities for rendering accounting, data processing and customer support services."

Synechron,Private,"New York,New York + 16 more",5k-10k Employees (India),22 years old,(1.6k Reviews),28,"['Financial Services', 'IT Services & Consulting']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3N5bmVjaHJvbi5qcGc.webp,"At Synechron, we believe in the power of digital to transform businesses for the better. Our global consulting firm combines creativity and innovative technology to deliver industry-leading digital solutions. 

Synechron�s progressive technologies and optimization strategies span end-to-end Enterprise Advisory & Technology Consulting, Digital, Cloud & DevOps, Data, Systems Integration, and Engineering, servicing an array of noteworthy financial services and big technology firms. 

Through research and development initiatives in our FinLabs, we develop solutions for modernization, from Blockchain and Artificial Intelligence to Data Science models, Digital Underwriting, mobile-first applications, and more. 

Over the last 20+ years, our company has been honored with multiple employer awards, recognizing our commitment to our talented teams. With top clients to boast about, Synechron has a global workforce of 13,000+ and has 36 offices in 17 countries within key global markets. 

For more information on the company, please visit our website or LinkedIn community."

Lifestyle,Private,"Bangalore/Bengaluru,Karnataka + 95 more",10k-50k Employees (India),24 years old,(1.8k Reviews),14,"['Retail', 'Fashion & Textile', 'Conglomerate', 'Fortune India 500', 'Bangalore/Bengaluru,Karnataka']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2xpZmVzdHlsZS5qcGc.webp,"Lifestyle is India's premier fashion destination for the latest trends and hottest styles. Lifestyle is India's leading fashion destination for the latest trends. Part of Dubai based retail and hospitality conglomerate - The Landmark Group, Lifestyle brings multiple categories including men, women and kids� apparel, footwear, handbags, fashion accessories and beauty under the convenience of a single roof. Lifestyle provides seamless and hassle-free shopping, offering leading national and international brands along with the convenience of a true omni-channel experience with its online store lifestylestores.com. The company is recipient of numerous awards and accolades, including Most Admired Fashion Retail Destination of the Year at Images Fashion Awards for 5 consecutive years; No. 1 India�s Best Company to Work for in the retail industry for 2 consecutive years and Top 10 Best companies to Work for in India in 2015 - Great Places to Work Institute�. Currently, Lifestyle is present across 77 stores, 44 cities and delivers to over 26000 pin codes. Lifestyle is a true omni-channel player with its online store lifestylestores.com where customers can shop from the convenience of their home."

JMC Projects,Public,"Mumbai,Maharashtra + 105 more",1k-5k Employees (India),41 years old,(1.6k Reviews),3,"['Engineering & Construction', 'IT Services & Consulting', 'Public', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2ptYy1wcm9qZWN0cy5qcGc.webp,"JMC Projects thrives on its technical capabilities, built over last several years and strong will power, to provide value to customers. This is the premise for establishing a culture of engagement in JMC's credo. Perfecting past knowledge and recapitulating this expertise makes us perform better & faster. Collaborative engagement pro-creates innovation, which ultimately creates a better & sustainable future. This underlines that JMC's pursuit of excellence is just a manifestation of achieving customer delight.

Over the last several years, JMC Projects has evolved as a prominent engineering and construction services company. On the backdrop of dynamic competitive landscape, JMC has weaved in agility and innovation into the culture of the organization. Recent upsurge in customer expectations is bound to unlock exciting opportunities of lifting our own standards."

Birlasoft,Public,"Pune,Maharashtra + 26 more",10k-50k Employees (India),28 years old,(1.6k Reviews),89,"['IT Services & Consulting', 'Fortune India 500', 'Public', 'Pune,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2Jpcmxhc29mdC5qcGc.webp,"Birlasoft combines the power of domain, enterprise and digital technologies to reimagine business processes for customers and their ecosystem. Its consultative and design thinking approach makes societies more productive by helping customers run businesses. As part of the multibillion dollar diversified The CK Birla Group, Birlasoft with its 10,000 engineers, is committed to continuing our 158-year heritage of building sustainable communities."

Max Healthcare,Partnership,"Delhi/NCR,New Delhi + 47 more",1k-5k Employees (India),22 years old,(1.6k Reviews),103,"['Healthcare', 'Conglomerate', 'Fortune India 500']",https://static.ambitionbox.com/alpha/company/photos/logos/max-healthcare.jpg,"We are one of India�s leading providers of comprehensive, seamless and integrated world class healthcare services. With a network of 14 hospitals, we offer treatment across all 29 specialties. We have 2300+ leading doctors with international level expertise who are committed to provide highest standards of medical excellence at a fraction of international costs. Our NABH and ISO accredited hospitals offer best in class services to our patients. We understand seeking medical treatment outside your home can be physically and mentally difficult. So at Max, we are eager to get you home!"

Radisson Hotels,Private,"Minnetonka,Minnesota + 88 more",10k-50k Employees (India),114 years old,(1.6k Reviews),3,"['Travel & Tourism / Hospitality', 'Hospitality']",https://static.ambitionbox.com/alpha/company/photos/logos/radisson-hotel.jpg,"adisson Blu Plaza Delhi is located within 4-5 Km of the International Airport. It offers a feel-at-home business or leisure stay with easy access to shopping and business districts of both Delhi and Gurgaon. Designed for travelers who want to be in a central location, Radisson Blu Plaza Delhi has 261 beautifully appointed guest rooms, including 140 Superior Rooms, 64 Premium Rooms, 35 Business Class Rooms, 7 Executive Suites, 13 Deluxe Suites and 2 Presidential Suites. Contemporary and modern in setting, all rooms offer elegant d�cor and luxurious amenities. Guests can savour the critically acclaimed cuisine, enjoy top-of-the-line service, relax at the Savannah bar and de-stress at the R-The spa. The Radisson�s theme-based spa suites are a perfect wellness retreat - a rejuvenating haven to restore energies, detox and unwind. Spread over an area of 20,000 sq ft at three levels, the spa offers the right blend of Asian traditions and European therapies. Radisson Blu Plaza Delhi is ideally suited for business travelers and leisure from across the globe. Guests can also enjoy unlimited kababs at The Great Kabab Factory and all-day dining at NYC. A state-of-the-art gym makes it easy to keep up with your workout routine, and the luxurious on-site spa helps melt away the stress of the business day. Hotel guests can host Delhi meetings and events for up to 1000 people as well."

Zensar Technolog...,Public,"Pune,Maharashtra + 18 more",5k-10k Employees (India),22 years old,(1.6k Reviews),56,"['IT Services & Consulting', 'Fortune India 500', 'Public', 'Pune,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3plbnNhci10ZWNobm9sb2dpZXMuanBn.webp,"We are a technology consulting and services company with 11,200+ associates in 33 global locations. More than 130 leading enterprises depend on our expertise to be more disruptive, agile, and competitive. We focus on conceptualizing, designing, engineering, marketing, and managing digital products and experiences for high-growth companies looking to disrupt through innovation and velocity. 

Our expertise addresses the growing needs of enterprises in dynamic industries such as Hi-tech, Manufacturing, Banking & Financial Services, Insurance, Consumer Services, Public Services, and Healthcare."

United Phosphoru...,Public,"Mumbai,Maharashtra + 121 more",1k-5k Employees (India),54 years old,(1.6k Reviews),88,"['Agriculture', 'Agro Chemicals', 'Fortune India 500', 'Public', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3VuaXRlZC1waG9zcGhvcnVzLmpwZw.webp,"UPL Limited, formerly United Phosphorus Limited, is an Indian multinational company that manufactures and markets agrochemicals, industrial chemicals, chemical intermediates, and specialty chemicals, and also offers crop protection solutions."

I Process Servic...,Private,"Mumbai,Maharashtra + 224 more",1k-5k Employees (India),18 years old,(1.6k Reviews),17,"['Recruitment', 'Software Product']",https://static.ambitionbox.com/alpha/company/photos/logos/i-process-services.jpg,"i-Process Services (India) Pvt. Ltd. is a captive outsourcing setup providing manpower and training support to ICICI Bank Ltd. We specilize in all aspects of employee life cycle management starting with recruitment, compensation & benefit, training, payroll, performance management, compliance, attrition management and exit."

AGS Health,Private,Washington DC + 28 more,5k-10k Employees (India),12 years old,(1.6k Reviews),21,['Software Product'],https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2Fncy1oZWFsdGguanBn.webp,"AGS is an analytics-driven, technology-enabled organization that provides healthcare billing, coding, and customized analytics services to some of the nation's largest healthcare organizations. Our client services team is second-to-none in collaborating with clients to achieve their revenue goals. 

Our RCM products and services ease our customers� administrative and financial burdens, so they can focus on their core mission of providing high-quality patient care."

Walmart,Private,"Bangalore/Bengaluru,Karnataka + 72 more",5k-10k Employees (India),14 years old,(14.3k Reviews),79,"['Retail', 'Analytics & KPO', 'Forbes Global 2000']",https://static.ambitionbox.com/alpha/company/photos/logos/walmart.jpg,"What started small, with a single discount store and the simple idea of selling more for less, has grown over the last 50 years into the largest retailer in the world. Each week, nearly 265 million customers and members visit our more than 11,200 stores under 55 banners in 27 countries and eCommerce websites in 10 countries. With fiscal year 2018 revenue of $500.3 billion, Walmart employs over 2.2 million associates worldwide. Walmart continues to be a leader in sustainability, corporate philanthropy and employment opportunity. It�s all part of our unwavering commitment to creating opportunities and bringing value to customers and communities around the world"

Lenskart,Private,"Faridabad,Haryana + 117 more",1k-5k Employees (India),13 years old,(1.5k Reviews),148,"['Internet', 'Retail', 'Fashion & Textile', 'Indian Unicorn', 'Faridabad,Haryana']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2xlbnNrYXJ0LmpwZw.webp,"Founded in 2010, By an ex-Microsoft 'techie' with no money but truckloads of relentless passion to make a difference in this world, Lenskart is India's fastest-growing eyewear business today.

With a rapidly growing business reaching out to over 1,00,000 customers a month via a unique combination of a strong online business as www.lenskart.com, uniquely designed physical stores, as well as a first-of-its-kind home eye check up' service, Lenskart is revolutionizing the eyewear industry in India."

Fiserv,Private,"Brookfield,Wisconsin + 24 more",5k-10k Employees (India),39 years old,(1.6k Reviews),39,"['Financial Services', 'Internet', 'Forbes Global 2000']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2Zpc2Vydi5qcGc.webp,"The small business owner ready to meet another busy day. The young home buyer on the way to her first real estate closing. Roommates splitting the monthly expenses. The banker wiring funds for a client's business expansion.

Life moves fast. And a new year, a new decade, has begun.

As 2020 gets underway, we know most people aren't thinking about ""financial services.""

But we are. 

We help people and businesses move money and information every minute of every day. Our solutions connect financial institutions, corporations, merchants and consumers to one another, millions of times a day, behind the scenes, reliably and securely. 

We're Fiserv, a global leader in Fintech and payments enabling innovative financial services experiences that are in step with the way people live and work today. We proudly serve clients in more than 100 countries, so their customers, members and consumers can move money when and where they need it, at the point of thought."

G4S,Private,"Gurgaon/Gurugram,Haryana + 112 more",1 Lakh+ Employees (India),27 years old,(1.6k Reviews),14,"['Financial Services', 'NBFC', 'Gurgaon/Gurugram,Haryana']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2c0cy5qcGc.webp,"G4S is the leading global, integrated security company, specialising in the provision of security services and solutions to customers. Our mission is to create material, sustainable value for our customers and shareholders by being the supply partner of choice in all our markets.

G4S is quoted on the London Stock Exchange and has a secondary stock exchange listing in Copenhagen. G4S is active in around 90 countries and has over 540,000 employees. For more information on G4S, visit www.g4s.com.

G4S works to safeguard the welfare and prosperity of millions of people worldwide � helping to create safer and better environments in which people live and work."

Birla Sun Life I...,Private,"Mumbai,Maharashtra + 302 more",10k-50k Employees (India),23 years old,(1.5k Reviews),3,"['Financial Services', 'Insurance', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2JpcmxhLXN1bi1saWZlLWluc3VyYW5jZS5qcGc.webp,"Aditya Birla Sun Life Insurance Company Limited (ABSLI), is a subsidiary of Aditya Birla Capital Ltd (ABCL). ABSLI was incorporated on August 4th, 2000 and commenced operations on January 17th, 2001. ABSLI is a 51:49 a joint venture between the Aditya Birla Group and Sun Life Financial Inc., a leading international financial services organization in Canada. 

Formerly known as Birla Sun Life Insurance Company Limited, ABSLI is one of India's leading life insurance companies offering a range of products across the customer's life cycle, including children future plans, wealth protection plans, retirement and pension solutions, health plans, traditional term plans and Unit Linked Insurance Plans (""ULIPs"").

As of 30 June 2019, total AUM of ABSLI stood at Rs. 410,110 million. ABSLI recorded a gross premium income of Rs. 12,607 million in Q1 FY 2019-20 and registering a y-o-y growth of 30% in Individual First Year Premium and currently ranked 7th in Individual Business (Individual FYP adjusted for 10% single premium) (Source: IRDAI reported Financials). ABSLI has a nation-wide distribution presence through 425 branches, 9 bancassurance partners, 6 distribution channels, over 85,000 direct selling agents, other Corporate Agents and Brokers and through its website. The company has over 10,000 employees and more than 16 lac active customers.

Aditya Birla Capital Limited (ABCL), is the financial services platform of the Aditya Birla Group. With a strong presence across the life insurance, asset management, private equity, corporate lending, structured finance, project finance, general insurance broking, wealth management, equity, currency and commodity broking, online personal finance management, housing finance, pension fund management and health insurance business, ABCL is committed to serving the end-to-end financial services needs of its retail and corporate customers. Anchored by more than 18,000 employees, ABCL has a nationwide reach and more than 2,00,000 agents / channel partners."

Reliance SMSL,Public,Mumbai + 390 more,1k-5k Employees (India),16 years old,(1.5k Reviews),92,"['BPO', 'Public', 'Mumbai']",https://static.ambitionbox.com/alpha/company/photos/logos/reliance-smsl.jpg,"Reliance Smsl Limited is a Non-govt company, incorporated on 08 Feb, 2007. It's a public unlisted company and is classified as 'company limited by shares'.

RELIANCE SMSL LIMITED is located in Mumbai, Maharashtra, India and is part of the Oil & Gas Exploration & Production Industry. RELIANCE SMSL LIMITED has 95719 total employees across all of its locations. There are 538 companies in the RELIANCE SMSL LIMITED corporate family."

Voltas,Public,"Mumbai,Maharashtra + 142 more",5k-10k Employees (India),69 years old,(1.6k Reviews),2,"['Industrial Machinery', 'Manufacturing', 'Electronics', 'Consumer Electronics & Appliances', 'Conglomerate', 'Fortune India 500', 'Public', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3ZvbHRhcy5qcGc.webp,"Voltas is the No. 1* Room Air Conditioner Brand in India. Apart from ACs, Voltas offers a wide range of cooling products including Air Coolers, Commercial Refrigeration, Water Coolers and Water Dispensers. Apart from being the leaders in consumer products, Voltas is also one of the world's premier engineering solutions providers and project specialists. We offer engineering solutions for a wide spectrum of industries such as heating, ventilation, air conditioning, refrigeration, electro-mechanical projects, water management, mining, construction & textile."

Aditya Birla Gro...,"Mumbai,Maharashtra + 201 more",166 years old,5k-10k Employees (India),50k-1 Lakh Employees (India),(16.6k Reviews),2,"['Financial Services', 'Metals & Mining', 'Retail', 'Telecom', 'Chemicals', 'Conglomerate', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2FkaXR5YS1iaXJsYS1ncm91cC5qcGc.webp,"A global conglomerate, the Aditya Birla Group is in the League of Fortune 500. Anchored by an extraordinary force of over 120,000 employees belonging to 42 nationalities, the Group is built on a strong foundation of stakeholder value creation. With over seven decades of responsible business practices, our businesses have grown into global powerhouses in a wide range of sectors � metals, pulp and fiber, chemicals, textiles, carbon black, telecom and cement. Today, over 50% of Group revenues flow from overseas operations that span 36 countries in North and South America, Africa, and Asia.

It is also the fourth-largest producer of insulators, one of the top 4 cement producers (excluding China) and is the second-largest telecom company in the world. Over 50 percent of the Group's revenues flow from its overseas operations. The company was named the AON best employer in India for 2018 - the third time in the last 7 years."

Tech Mahindra Bu...,Public,"Mumbai,Maharashtra + 35 more",1k-5k Employees (India),20 years old,(1.5k Reviews),58,"['BPO/KPO', 'BPO', 'Public', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3RlY2gtbWFoaW5kcmEtYnVzaW5lc3Mtc2VydmljZXMuanBn.webp,"Tech Mahindra Business Services is a subsidiary of Tech Mahindra which is a part of the Mahindra Group.

Tech Mahindra is a USD 4.9 billion company with 131,500+ professionals across 90 countries, helping 946 global customers including Fortune 500 companies. Their Business Process Outsourcing arm is called Tech Mahindra Business Process Services which provides Next Gen Digital Customer Experience & Back Office services across industries, which include Communication, Media & Entertainment, Retail & CPG, Healthcare & Life Science, Banking & Financial Services, Transport, Hospitality & Logistics and Manufacturing & Utilities."

HDFC Sales,Private,"Mumbai,Maharashtra + 233 more",10k-50k Employees (India),19 years old,(1.5k Reviews),14,"['Financial Services', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2hkZmMtc2FsZXMuanBn.webp,"Headquartered in Mumbai, HDFC Sales was formed in January 2004. Today, after 16 years, it is a workforce of 11,000+ employees in over 350 branches across various locations in India. At HDFC Sales, our clients are at the heart of all our endeavours. We understand that our success only comes from ensuring all our products and services meet the unique needs of each of our clients. Our proactive customer-centric initiatives have ensured a steady upscale in our business and regularly create paths for expansion and growth.

Our people are our strongest asset. We know that the talent and points of view of diverse individuals built our legacy and will shape our future.

What started as farsightedness in encouraging mortgage distribution for HDFC, has today become one of our market-leading products. A one-stop-shop for all financial management solutions, it covers a wide range of products. Our endeavor now is to grow beyond boundaries."

Tata Technologie...,Private,Singapore + 35 more,5k-10k Employees (India),34 years old,(1.5k Reviews),357,"['Analytics & KPO', 'Engineering & Construction', 'IT Services & Consulting', 'Conglomerate']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3RhdGEtdGVjaG5vbG9naWVzLmpwZw.webp,"Tata Technologies is a global leader in engineering services outsourcing and product development IT services to the global manufacturing industry; enabling ambitious manufacturing companies to design and build better products. A company of innovators, specialists in the design engineering space, who apply cutting-edge technology to provide a competitive advantage to customers in the manufacturing sector.

The company is a strategic partner for developing complete vehicles, engineering subsystems and components, managing the New Product Introduction (NPI) process through collaborative engineering tools, such as Product Lifecycle Management (PLM) and tying together information created and used throughout the extended manufacturing enterprise.

Tata Technologies is headquartered in Singapore, with regional headquarters in the United States (Novi, Michigan), India (Pune) and the UK (Warwick) with a combined global work force of more than 8,500 employees serving clients worldwide from facilities in North America, Europe and the Asia-Pacific region."

Life Insurance C...,Private,Mumbai + 365 more,1 Lakh+ Employees (India),67 years old,(1.5k Reviews),8,"['Financial Services', 'Insurance', 'Government', 'Fortune India 500', 'Mumbai']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2xpZmUtaW5zdXJhbmNlLWNvcnBvcmF0aW9uLW9mLWluZGlhLmpwZw.webp,"Every day we wake up to the fact that more than 250 million lives are part of our family called LIC.

We are humbled by the magnitude of the responsibility we carry and realise the lives that are associated with us are very valuable indeed.

Though this journey started over six decades ago, we are still conscious of the fact that, while insurance may be a business for us, being part of millions of lives every day for the past 61 years has been a process called TRUST."

Pfizer,Public,"Chennai,Tamil Nadu + 104 more",5k-10k Employees (India),19 years old,(2.3k Reviews),287,"['Manufacturing', 'Pharma', 'Forbes Global 2000', 'Public', 'Chennai,Tamil Nadu']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3BmaXplci5qcGc.webp,"Pfizer is a leading research-based biopharmaceutical company. We apply science and our global resources to deliver innovative therapies that extend and significantly improve lives. We make medicines and vaccines that help people when they are sick and prevent them from getting sick in the first place, as well as some of the world�s best-known consumer healthcare brands. Every day, our colleagues work in developed and emerging markets to treat, cure and eradicate life-threatening conditions and challenge some of the most feared diseases of our time. Pfizer also collaborates with healthcare providers, governments and local communities to support and expand access to reliable, affordable healthcare around the world."

